AMBLESIDE (LOW NOOK) Observer Wilson,,,,,,,,,,,,,,,,,,,,
Grid ref,NY376047,Long,-2.9635,Lat,54.4344,Elevation,150,ft,,,,,,,,,,,,
Station no,RR1472,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,12.8,6.15,10.3,16.3,10.2,7.66,14.33,11.63,9.79,
February,,,,,,,,,,,4.65,11.4,2.3,5.1,6.8,6.63,9.71,9.17,9.6,
March,,,,,,,,,,,8.2,10.6,5.1,3.4,6.3,2.78,5.94,4.11,10.7,
April,,,,,,,,,,,1.5,1.25,7.5,5.1,2.3,1.84,3.15,9.03,5.08,
May,,,,,,,,,,,5.35,1.2,5.3,5.2,2.4,9.47,2.43,3.34,3.18,
June,,,,,,,,,,,7.95,4.2,6.3,5.1,4.9,0.64,4.33,1.8,1.61,
July,,,,,,,,,,,1.3,10.35,7.1,1,4.5,3.63,3.99,4.55,0.6,
August,,,,,,,,,,,5.65,12.5,4.4,6,4,7.79,8.23,4.84,9.59,
September,,,,,,,,,,8.8,2.5,10.25,3.1,11.1,9.1,2.64,11.92,6.24,3.92,
October,,,,,,,,,,5.65,14.3,6.2,16.2,9.5,4.1,8.81,5.07,9.03,11.78,
November,,,,,,,,,,7.4,3.4,20.3,4.8,10.7,8.7,6.9,11.78,1.76,6.32,
December,,,,,,,,,,7.7,5.65,7,13.7,7,11.1,6.99,13.39,6.29,16.71,
Total,,,,,,,,,,,73.25,101.4,86.1,85.5,74.4,65.78,94.27,71.79,88.88,
,,,,,,,,,,,,,,,,,,,,
Feb 1866=9.71,,,,,,,,,,,,,,,,,,,,
