ASHFORD Coombe Cottage),,,,,,,,,,
Grid ref,TR016453,Long,0.88247059,Lat,51.171396,Elevation,190,ft,,
Station no,277,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.35,3.21,5.14
February,,,,,,,4.78,0.83,1,2.61
March,,,,,,,4.11,1.85,1.2,4.3
April,,,,,,,1.74,2.1,1.72,3.67
May,,,,,,,2.16,2.36,1.93,0.93
June,,,,,,,2.29,1.08,1.14,0.63
July,,,,,,,2.37,4.42,3.26,2.26
August,,,,,,,2.78,8.28,1.21,3.48
September,,,,,,,0.91,0.9,7.17,0.92
October,,,,,,,3.88,2.98,3.74,1.38
November,,,,,,,4.81,1.96,2.57,2.89
December,,,,,,,3.73,3.31,2.23,4.16
Total,,,,,,,,32.42,30.38,32.37
,,,,,,,,,,
,,,,,,,,,,
