BARNSLEY BECKETT SQUARE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE346062,Long,-1.4792393,Lat,53.551297,Elevation,306,ft,,,,,,,,,,,,
Station no,3171,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.89,0.47,2.76,0.52,3.86,2.97,1.7,0.86,2.19,,,,,,
February,,,,,,0.08,0.82,2.93,1.27,1.36,4.37,1.4,1.42,1.41,,,,,,
March,,,,,,1.74,2.72,1.55,1.15,0.96,0.81,2.26,0.76,2.98,,,,,,
April,,,,,2.68,2.34,1.16,2.38,2.9,1.98,0.77,1.26,2.39,1.51,,,,,,
May,,,,,1.5,0.65,0.52,1.03,2.81,2.79,1.07,1.09,2.45,,,,,,,
June,,,,,2.91,2.08,4.56,2.46,1.16,1.98,3.07,0.87,1.8,,,,,,,
July,,,,,3.58,5.87,0.9,0.57,0.97,1.85,2.78,4.41,1.72,,,,,,,
August,,,,,2.05,1.89,1.6,2.17,3.01,1.4,5.52,0.98,3.34,,,,,,,
September,,,,,0.78,0.45,5.31,2.2,0.45,3.4,0.18,0.99,1.27,,,,,,,
October,,,,,4.34,3.55,3.42,1.28,2.75,2.56,3.06,1.42,2.59,,,,,,,
November,,,,,1.03,3.47,1.2,2.35,2.9,1.24,2.04,3.21,1.75,,,,,,,
December,,,,,1.56,2.65,2.79,2.68,2.48,2.71,2.99,4.98,2.05,,,,,,,
Total,,,,,,28.66,25.47,24.36,22.37,26.09,29.63,24.57,22.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Gas Nook referred to as being in Beckett Sq. Altitudes nearly match. Gauge moved to Jordan Hill in 1903,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
