BROMSGROVE UPWOOD BARNT GREEN - DP Grubb,,,,,,,,,,,,
Grid ref,SP015733,Long,-1.9793988,Lat,52.357759,Elevation,494,ft,,,,
Station no,2408,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.29,0.65,3.52,0.77,0.73,0.85,,
February,,,,,3.11,0.38,1.42,0.69,0.92,0.51,,
March,,,,,1.17,3.15,1.2,0.68,2.17,3.4,,
April,,,,,0.89,1.82,1.11,1.58,2.35,1.89,,
May,,,,,2.59,0.43,2.07,3.1,3.16,1.59,,
June,,,,,0.41,2.44,3.03,2.34,1.65,3.91,,
July,,,,,3.71,1.46,1.33,2.26,2.87,3.03,,
August,,,,,1.2,2.69,0.79,2.73,2.41,1.64,,
September,,,,,2,1.05,1.12,0.5,1.06,4.06,,
October,,,,,0.7,1.14,4.56,5.22,1.83,3.01,,
November,,,,,0.93,2.51,2.65,1.88,1.77,0.65,,
December,,,,,1.68,0.75,1.59,2.78,1.91,3.87,,
Total,,,,,20.68,18.47,24.39,24.53,22.83,28.41,,
