BOLTBY - CLIFF HEAD NO 1,,,,,,,,,
Grid ref,SE493870,Long,-1.244,Lat,54.276,Elevation,773,ft,
Station no,RR4598,,,,,,,,
,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912
January,1.85,0.20,2.93,0.17,0.95,0.21,1.13,1.27,-999.00
February,2.04,0.78,0.94,0.71,1.27,0.62,1.96,0.31,-999.00
March,1.33,1.64,1.13,0.31,2.75,3.15,0.44,1.12,3.08
April,1.19,2.42,1.31,2.23,3.21,1.99,2.23,0.53,0.00
May,3.60,0.58,3.01,3.09,1.20,1.00,1.76,0.55,2.09
June,1.13,1.20,0.99,3.19,0.21,2.42,1.52,3.70,5.03
July,1.18,0.96,0.92,1.46,3.14,2.39,2.42,0.13,4.05
August,3.09,2.76,2.12,1.72,1.31,3.43,2.82,2.35,2.89
September,1.52,2.62,0.57,0.47,2.29,2.00,0.29,2.29,2.04
October,0.49,2.09,5.34,4.35,1.22,2.62,2.65,2.08,2.46
November,1.12,4.47,2.93,2.35,1.53,0.44,3.14,4.00,2.89
December,1.51,0.20,1.07,2.69,1.33,3.24,3.07,3.85,0.95
Total,20.05,19.92,23.26,22.74,20.41,23.51,23.43,22.18,29.60
,,,,,,,,,
TYRain_1900-1909_22_pt1/109,,,,,,,,,
TYRain_1910-1919_20_pt1/296,,,,,,,,,
,,,,,,,,,
# The gauge moved to Boltby village at the start of 1913.,,,,,,,,,
"# Readings for 1913 onwards on the 1910s decade sheet are from two sites in the village, not the cliff head site.",,,,,,,,,
# January-February 1912 are grouped into a single aggregate reading of 4.12 on the sheet.,,,,,,,,,
