BROADSTAIRS-PIERREMONT-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TR383683,Long,1.4218496,Lat,51.363742,Elevation,127,ft,,,,,,,,,,,,
Station no,306,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.02,1.26,2.45,1.01,1.46,2.77,1.19,1.56,2.24,1.87,,,,,,,,
February,,,1.16,1.53,1.25,1.89,1.88,0.98,0.84,2.82,4.4,1.57,,,,,,,,
March,,,0.43,0.25,0.76,2.01,4.34,0.81,0.75,0.48,2.78,2.68,,,,,,,,
April,,,1.38,1.84,1.19,1.31,1.03,1.15,1.54,1.68,1.61,0.61,,,,,,,,
May,,,1.73,0.41,2.01,1.96,1.38,1.72,1.97,1.85,1.71,1.09,,,,,,,,
June,,0.31,1.08,1.42,0.61,2.27,2.58,2.89,0.61,1.4,1.79,2.12,,,,,,,,
July,,3.01,2.1,2.32,1.64,2.33,2.38,1.6,0.88,2.94,1.25,,,,,,,,,
August,,1.3,1.61,1.41,2.16,5.37,0.38,3.01,1.04,2.31,3.35,,,,,,,,,
September,,2.29,1.19,3.51,0.88,1.95,1.06,2.17,2.51,2.03,4.11,,,,,,,,,
October,,3.15,1.27,5.24,1.1,1.18,0.4,1.08,6.46,0.71,1.58,,,,,,,,,
November,,2.56,2.92,3.93,2.16,3.37,1.42,2.04,3.49,5.56,3.08,,,,,,,,,
December,,2.79,1.67,1.49,2.85,2.61,3.52,1.7,1.76,1.95,2.06,,,,,,,,,
Total,,,20.56,24.61,19.06,27.26,21.83,21.92,23.04,25.29,29.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1942 May Gauge move,,,,,,,,,,,,,,,,,,,,
