BROADSTAIRS-PIERREMONT-PARK (HILDERSHAM HOUSE) (OLD GAUGE),,,,,,,,,,,
Grid ref,TR384683,Long,1.4232834,Lat,51.3637,Elevation,145,ft,,,
Station no,306,,,,,,,,,,
,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,
January,,,,1.9,1.59,2.55,0.61,1.06,,,
February,,,,3.51,1.03,0.35,0.28,1.52,,,
March,,,,0.42,0.51,0.91,1.68,2.31,,,
April,,,,0,1.9,0.84,0.7,1.49,,,
May,,,,0.94,3.55,0.6,0.08,0.46,,,
June,,,,0.34,1.79,0.79,2.79,1.3,,,
July,,,,3.17,3.72,2.58,0.96,0.24,,,
August,,,,1.36,1.83,1.6,3.26,2.59,,,
September,,,,2.91,2.05,0.53,3.1,1.55,,,
October,,,4.98,2.9,2.7,2.71,4.9,0.19,,,
November,,,2.03,2.7,2.71,2.59,1.15,1.07,,,
December,,,1.86,2.16,1.29,1.71,2.55,2.26,,,
Total,,,,22.31,24.67,17.76,22.06,16.04,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
