BROCKHAM-NORTH-LODGE-(LEVITHAN),,,,,,,,,,,,,,,
Grid ref,TQ195502,Long,-0.28924,Lat,51.23917,Elevation,180,ft,,,,,,,
Station no,114,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.3,5.06,1.47,3.86,2.15,3.66,2.31,2.06,,,,,,
February,,4.76,1.96,0.5,0.87,2.23,0.3,3.21,0.31,,,,,,
March,,3.44,2.09,0.04,2.16,0.38,1.62,4,2.58,,,,,,
April,,1.95,1.85,0.82,1.65,4.75,2.58,0.68,3.09,,,,,,
May,,1.06,2.09,2.06,2.7,2.58,3.93,2.55,0.61,,,,,,
June,3.35,4.64,2.61,1.33,0.43,1.92,1.59,1.46,1.18,,,,,,
July,1.84,2.57,1.79,1.08,2.9,3.24,2.51,1.75,2.41,,,,,,
August,1.52,4.25,2.25,2.23,5.35,5.01,0.53,1.01,1.59,,,,,,
September,0.46,5.61,1.07,0.13,4.17,2.45,1.94,2.77,1.82,,,,,,
October,2.06,1.92,5.8,3.92,1.31,0.56,6.24,2.1,2.2,,,,,,
November,6.09,3.01,2.74,8.11,5.37,3.99,1.41,1.12,3.33,,,,,,
December,0.3,4.54,2.76,8.11,2.6,0.69,0.77,0.5,8.89,,,,,,
Total,,40.05,32.07,29.8,33.37,29.95,27.08,23.46,30.07,,,,,,
,,,,,,,,,,,,,,,
Levithan Brockham Lane ,,,,,,,,,,,,,,,
House not found but this matches move and new elevation,,,,,,,,,,,,,,,
1926 May 31 Gauge moved 0.5 miles N,,,,,,,,,,,,,,,
