BURTON LEONARD HOLBER HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE330638,Long,-1.497234,Lat,54.069085,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3374/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,1.61,2.98,1.65,2,2.21,4.04,,,,,,,,,,,,,,,,,,,,
February,,,,,1.45,1.27,1.84,3.14,0.12,1.69,,,,,,,,,,,,,,,,,,,,
March,,,,,1.74,1.11,1.5,1.52,1.11,2.37,,,,,,,,,,,,,,,,,,,,
April,,,,,0.98,2.23,0.39,0.79,3.54,1.08,,,,,,,,,,,,,,,,,,,,
May,,,,,2.02,0.67,0.9,3.43,0.6,0.77,,,,,,,,,,,,,,,,,,,,
June,,,,,1.65,3.19,1.41,3.17,1.06,0.78,,,,,,,,,,,,,,,,,,,,
July,,,,1.29,0.89,4.3,3.93,2.65,1.29,3.43,,,,,,,,,,,,,,,,,,,,
August,,,,5.42,0.87,6.18,5.25,3.32,0.48,2.9,,,,,,,,,,,,,,,,,,,,
September,,,,1.62,0.99,2.85,3.4,3.3,0.19,2.74,,,,,,,,,,,,,,,,,,,,
October,,,,4.23,1.98,1.17,2.98,1.82,1.9,6.19,,,,,,,,,,,,,,,,,,,,
November,,,,4.94,2.02,0.64,1.64,0.72,3.54,4.65,,,,,,,,,,,,,,,,,,,,
December,,,,2.29,3.11,2.35,2.59,4.16,4.68,2.92,,,,,,,,,,,,,,,,,,,,
Total,,,,,19.31,28.94,27.48,30.02,20.72,33.56,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is Holber Hill, altitudes match. Gauge moved to Holber Hill in July 1954, given that the June 1954 reading is in brackets I have assumed the gauge moved in June to be in place for July",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
