CHARD-CRICKET-ST-THOMAS-(TUDBEER-FARM),,,,,,,,,,,,,,,,,,,,
Grid ref ,ST346092 ,Long ,-2.93,Lat ,50.87883,Elevation ,360,ft ,,,,,,,,,,,,
Station no ,2118,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January ,,,,,,,,,,1.81,3,1,2.5,4.6,1.8,2.21,4.51,,,
February ,,,,,,,,,,2.9,0.61,3.8,0.3,0.8,1.91,1.5,3.6,,,
March ,,,,,,,,,,1.8,1.7,3.51,3.91,2.01,2.19,0.5,3.1,,,
April ,,,,,,,,,,3,2,0.59,3.3,1.49,1.31,0.7,2.4,,,
May ,,,,,,,,,,2.29,3.4,1.3,2.4,1.5,1.19,3.21,1.5,,,
June ,,,,,,,,,,2,6.1,3.7,2.9,5,1.51,0.4,0.9,,,
July ,,,,,,,,,,1.31,1.5,4.6,2.3,1.49,0.4,2.39,1.91,,,
August ,,,,,,,,,,2,3.7,0.6,3.6,4.21,1.3,3,1.49,,,
September ,,,,,,,,,,3,2.8,2.6,2.5,3.1,3.5,0,7.4,,,
October ,,,,,,,,,,2.1,2.2,2.4,4.59,5.7,2,7.3,2.4,,,
November ,,,,,,,,,,3.1,4.3,4.7,0.9,2.6,3.4,4.6,1.5,,,
December ,,,,,,,,,3.4,2,3.8,2.2,2.5,2.3,3.2,3.69,1.8,,,
Total ,,,,,,,,,,27.31,35.11,31,31.7,34.8,23.71,29.5,32.51,,,
,,,,,,,,,,,,,,,,,,,,
Tudbeer Farm,,,,,,,,,,,,,,,,,,,,
Notes at bottom of sheet gives 1859 values,,,,,,,,,,,,,,,,,,,,
1867 Note says 'This gauge has evidently gone wrong' - values deleted,,,,,,,,,,,,,,,,,,,,
