CHARSFIELD-RED-HOUSE  (THE HALL),,,,,,,,,,,,,,,,,,,,
Grid ref ,TM235564,Long ,1.2676,Lat ,52.1609,Elevation ,150,ft ,,,,,,,,,,,,
Station no ,1363,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January ,,,,,,,3.7,1.15,0.74,0.5,1.53,1.26,2.12,2.25,1.31,,,,,
February ,,,,,,,2.11,1.05,1.82,0.7,2.3,0.93,1.38,0.52,1.6,,,,,
March ,,,,,,,1.72,1.06,1.96,2.98,0.93,2.19,3.06,1.85,4.19,,,,,
April ,,,,,,,0.7,2.74,2.82,1.41,1.15,1.25,0.37,2.3,0.65,,,,,
May ,,,,,,,1.18,2.92,1.72,1.61,3.5,0.81,0.65,1.51,1.23,,,,,
June ,,,,,,,2.28,2.25,0.49,4.11,2.46,2.49,3.13,0.65,1.42,,,,,
July ,,,,,,,0.34,1.31,3.66,2.65,2.89,0.49,3.19,1.88,1.77,,,,,
August ,,,,,,,0.76,1.71,1.84,2.08,2.53,0.5,7.23,0.96,0.99,,,,,
September ,,,,,,,1.95,0.6,1.61,2.17,1.1,1.9,2.97,1.56,1.08,,,,,
October ,,,,,,,3.42,3.67,1.43,4.02,1.07,2.32,1.86,3.55,1.8,,,,,
November ,,,,,,,4.26,1.85,1.2,0.94,2.85,3.12,2,2.59,2.72,,,,,
December ,,,,,,,1.75,2.54,1.71,4.57,4.53,4.26,1.94,1.07,5.32,,,,,
Total ,,,,,,,24.17,22.85,21,27.74,26.84,21.52,29.9,20.69,24.08,,,,,
