CHIPPENHAM-LACOCK (BEWLEY VILLAS),,,,,,,,,,
Grid ref,ST926682,Long,-2.10642,Lat,51.41312,Elevation,202,ft,,
Station no,RR1440,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.02,4.29,,,,,,,
February,,1.13,1.81,,,,,,,
March,,1.45,1.8,,,,,,,
April,,4.14,2.45,,,,,,,
May,0.14,1,1.86,,,,,,,
June,0.39,2.94,3.06,,,,,,,
July,1.12,3.97,1.43,,,,,,,
August,1.61,1.33,1.66,,,,,,,
September,1.21,5.93,1.26,,,,,,,
October,4.76,1.5,3.3,,,,,,,
November,2.08,0.59,3.58,,,,,,,
December,3.37,1.79,3.41,,,,,,,
Total,,26.79,29.91,,,,,,,
