LANESHAW - old gauge,,,,,,,,,,
Grid ref,SD944415,Long,-2.0866475,Lat,53.869678,Elevation,840,ft,,
Station no,RR8165,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,5,2.3,4.2,0.6,3.1,,2,2,,
February,2,0.3,1.3,4.1,5.2,,1.8,3.5,,
March,4.2,1.9,0.8,2.4,4.3,,4,5.47,,
April,1.2,2.4,1.6,0.5,2.4,,2,2.48,,
May,2.2,2.6,1.8,0.3,3.2,,0.7,,,
June,3.7,0.7,3.9,2.1,4.4,,2.76,,,
July,3.7,4.3,2.6,4.7,4.1,,2.26,,,
August,5.4,7.6,3.1,2,4.5,5.1,2.3,,,
September,2.8,3,3.6,3.7,0.3,1.3,6,,,
October,2.7,5.3,9.1,4.6,2.5,4.4,4,,,
November,4.7,3.6,1.1,1.8,4.2,6.2,1.7,,,
December,0.7,8,2.5,5.8,2.5,4,4.8,,,
Total,38.3,42,35.6,32.6,40.7,,34.32,,,
