CRIEFF OCHTERTYRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN831236,Long,-3.895159,Lat,56.390164,Elevation,400,ft,,,,,,,,,,,,
Station no,5545/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.5,2.26,,,,,,,,,
February,,,,,,,,,,1.95,4.53,,,,,,,,,
March,,,,,,,,,,3.05,2.29,,,,,,,,,
April,,,,,,,,,,2.19,1.51,,,,,,,,,
May,,,,,,,,,,1.86,2.56,,,,,,,,,
June,,,,,,,,,,0.44,0.32,,,,,,,,,
July,,,,,,,,,,3.36,0.92,,,,,,,,,
August,,,,,,,,,,1.06,3.08,,,,,,,,,
September,,,,,,,,,,2.04,1.84,,,,,,,,,
October,,,,,,,,,,6.7,4.09,,,,,,,,,
November,,,,,,,,,,6.11,5.06,,,,,,,,,
December,,,,,,,,,,2.69,2.84,,,,,,,,,
Total,,,,,,,,,,32.95,31.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location based on Conalter Cottage,,,,,,,,,,,,,,,,,,,,
where Observer J.C.Genttes lived,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/3,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
