CROYDON-ADDISCOMBE-(MONTHLY),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ339659,Long,-0.0771,Lat,51.37643,Elevation,202,ft,,,,,,,,,,,,
Station no,RR1849,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.3,3.58,0.95,5.42,1.12,2.62,0.42,1.4,1.22,2.02,2.55,,,,,
February,,,,,2.07,0.99,2.11,1.81,1.4,3.47,2.84,3.11,1.77,4.32,1.77,,,,,
March,,,,,0.56,0.62,2.95,2.22,1.36,0.57,0.65,1.53,0.81,0.96,1.65,,,,,
April,,,,,1.93,1.83,1.73,4.17,4.04,2.61,1.89,0.51,2.97,1.56,1.31,,,,,
May,,,,1.3,0.79,1,0.99,2.19,3.44,3.74,0.36,1.03,0.87,1.94,0.66,,,,,
June,,,,3.27,2.72,2.67,1.09,0.74,3.38,3.8,3.45,1.73,2.34,0.9,1.91,,,,,
July,,,,2.36,1.17,4.7,0.41,2.54,0.62,3.86,2.91,1.87,2.34,2.29,1.58,,,,,
August,,,,2.6,2.6,0.96,2.87,2.7,5.89,4.69,0.4,3.98,1.28,0.6,1.09,,,,,
September,,,,2.44,2.5,2.81,2.66,1.59,1.01,3.2,4.48,2.14,2.59,3.28,2.31,,,,,
October,,,,3.2,4.75,4.06,1.31,2.12,2.15,0.7,7.68,2.45,5.73,1.88,1.2,,,,,
November,,,,2.73,2.57,3.2,2.76,5.09,3.97,1.32,2.43,3.71,2.24,3.77,1.58,,,,,
December,,,,0.42,1.78,1.18,7.26,1.72,1.41,0.98,3.11,2.8,2.12,0.64,2.25,,,,,
Total,,,,,24.74,27.6,27.09,32.31,29.79,31.56,30.62,26.26,26.28,24.16,19.86,,,,,
,,,,,,,,,,,,,,,,,,,,
8in gauge,,,,,,,,,,,,,,,,,,,,
Lived at 35 Outram Road,,,,,,,,,,,,,,,,,,,,
