DARTMOOR LOWERY-(8-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SX557694,Long,-4.036318,Lat,50.506567,Elevation,899,ft,,,,,,,,,,,,
Station no,1648,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,1.4,5.9,4.7,9.25,7.85,4.45,8.05,4.95,,
February,,,,,,,,,,8.75,7.8,8.35,4.35,10.45,7.75,8.85,2.4,2.35,,
March,,,,,,,,,,2,3.7,7.4,2.5,2.7,6.05,3.2,8.2,3.1,,
April,,,,,,,,,,4.45,4.6,1.6,7.7,2.2,3.7,6,4.7,2.55,,
May,,,,,,,,,,3.9,1.05,2.05,1.9,3.7,2.3,4.4,3.95,2.3,,
June,,,,,,,,,,13.65,1.85,5.3,6.1,6.3,1.2,3.65,1.2,0.5,,
July,,,,,,,,,,7,6.05,3.65,8.1,5.75,5.8,1.65,5.35,3.25,,
August,,,,,,,,,,9,0.85,7.9,6.15,3.55,2.75,1.55,4,1.5,,
September,,,,,,,,,,6.9,6.75,3.25,6.15,9.75,3.95,8.15,3.65,5.2,,
October,,,,,,,,,,3.1,8.9,5.5,8.8,6.95,2.45,9.35,10.5,4.95,,
November,,,,,,,,,,0.4,8.1,10.1,8.6,7.15,3.7,7.05,6.45,5.05,,
December,,,,,,,,,,2.85,6.85,6.6,11.3,2.1,7.5,3.1,7.7,4.4,,
Total,,,,,,,,,,,57.9,67.6,76.35,69.85,55,61.4,66.15,40.1,,
,,,,,,,,,,,,,,,,,,,,
8 in gauge,,,,,,,,,,,,,,,,,,,,
