DARTMOOR PRINCETOWN PRISON (Med Officer Lawn),,,,,,,,,,
Grid ref,SX586738,Long,-3.997,Lat,50.54686,Elevation,1389,ft,,
Station no,1707,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,12.44,16.94,3.91,17.46,5.75,9.54
February,,,,,7.54,4.71,11.82,6.86,5.49,10.32
March,,,,,4.22,3.63,7.52,5.14,4.55,3.02
April,,,,,5.7,3.04,6.98,9.36,6.25,5.24
May,,,,,1.61,4.69,0.41,7.58,9.33,
June,,,,,2.78,7.65,3.86,4.06,6.05,
July,,,,,3.01,7.96,4.19,10.67,2.41,
August,,,,,10.61,5.04,7.95,11.91,9.12,
September,,,,,10.04,7.97,12.96,4.5,5.21,
October,,,,,13.63,9.87,7.22,8.48,8.79,
November,,,,,5.34,10.19,8.72,15.8,6.5,
December,,,,,9.48,4.16,21.38,6,7.02,
Total,,,,,86.4,85.85,96.92,107.82,76.47,
,,,,,,,,,,
Unknown where Med Officer lawn was these houses match elevation,,,,,,,,,,
1879 End Apr Station terminated,,,,,,,,,,
