DEDHAM-LOWER-PARK (THE ROOKERY),,,,,,,,,,
Grid ref ,TM047328,Long ,0.9781,Lat ,51.9562,Elevation ,45,ft ,,
Station no ,RR1049 ,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January ,,,,,,,2.48,1.44,1.22,0.66
February ,,,,,,,0.21,0.5,1.41,1.52
March ,,,,,,,1.33,1.35,2.57,1.39
April ,,,,,,,1.4,1.38,1.35,1.84
May ,,,,,,,2.78,1.84,0.81,4.01
June ,,,,,,,0.52,0.27,1.76,2.28
July ,,,,,,,2.85,1.27,4.01,2.49
August ,,,,,,,1.33,1.81,2.44,2.52
September ,,,,,,,1.24,2.22,1.24,1.53
October ,,,,,,,3.38,1.86,1.12,4.07
November ,,,,,,2.79,2.65,3.39,3.91,1.36
December ,,,,,,1.01,3.37,1.18,0.96,1.29
Total ,,,,,,,23.54,18.51,22.8,24.96
,,,,,,,,,,
,,,,,,,,,,
"Note: 1885, the gauge moved to The Rookery, 1 Mile West of Lower Park ",,,,,,,,,,
