DEDHAM-LOWER-PARK (The Street),,,,,,,,,,,,,,,,,,,,
Grid ref ,TM056331,Long ,0.991,Lat ,51.958,Elevation ,40,ft ,,,,,,,,,,,,
Station no ,RR1049 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January ,,,,,,,,,,,,,,,1.82,2.4,,,,
February ,,,,,,,,,,,,,,,1.1,0.37,,,,
March ,,,,,,,,,,,,,,,0.77,1.54,,,,
April ,,,,,,,,,,,,,,,1.96,0.83,,,,
May ,,,,,,,,,,,,,,,1.69,0.67,,,,
June ,,,,,,,,,,,,,,,2.08,0.35,,,,
July ,,,,,,,,,,,,,,,5.26,4.22,,,,
August ,,,,,,,,,,,,,,1.96,2.17,1.7,,,,
September ,,,,,,,,,,,,,,1.41,0.97,1.47,,,,
October ,,,,,,,,,,,,,,1.93,2.51,2.43,,,,
November ,,,,,,,,,,,,,,2.85,3,2.19,,,,
December ,,,,,,,,,,,,,,1.54,2.01,2.55,,,,
Total ,,,,,,,,,,,,,,,25.34,20.72,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note: 1885, the gauge moved to The Rookery, 1 Mile West of Lower Park ",,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_08_pt1-page-097.csv added,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note: Jul 1893, the gauge moved 1 mile East from The Rookery",,,,,,,,,,,,,,,,,,,,
Location approximated.,,,,,,,,,,,,,,,,,,,,
"Gauge Observer lived at The Old House, The Street, Dedham (Census 1901)",,,,,,,,,,,,,,,,,,,,
