DENVER (CROW-HALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF613022,Long,0.37988369,Lat,52.593662,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1461/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.21,3.25,2.28,3.59,1.34,1.94,2.79,3.4,,2.11,1.11,1.47,3.89,1.07,,,2,1.23,1.72,1.69,,,,,
February,,,,,,2.05,2.77,0.55,0.5,1.7,2.57,0.74,0.51,,1.76,1.84,0.81,0.59,0.79,,,0.87,1.37,2.1,,,,,,
March,,,,,,0.61,2.72,0.34,1.7,1.86,2.99,1.27,0.44,,1,0.73,3.81,0.57,1.06,,,2.91,1.06,,,,,,,
April,,,,,,1.52,2.37,0.6,1.55,1.44,0.73,1.05,0.96,,1.02,0.93,1.49,0.69,1.78,,2.95,1.5,2.11,0.25,0.7,,,,,
May,,,,,,0.88,2.77,2.02,0.64,0.79,2.07,2.48,1.68,,1.54,1.17,0.19,3.78,2.75,,2.36,1.69,1.84,2.44,2.39,,,,,
June,,,,,,3.28,1.6,0.95,1.81,0.28,1.01,0.8,2.28,,2.21,2.32,3.27,3.1,0.66,,,1.3,4.43,,2.44,,,,,
July,,,,,,4.85,2.23,1.9,2.69,2.22,2.83,3.36,0.86,,0.9,1.82,1.66,2.49,1.27,,,0.58,2.76,,0.13,,,,,
August,,,,,,0.92,2.4,1.09,2.9,0.51,3.59,1.3,1.64,,1.79,3.03,0.07,3.68,1.32,,4.26,2.47,2.44,,0.82,,,,,
September,,,,,,2.36,1.03,3.25,1.93,0.72,0.51,1.13,1.27,,1.91,3.29,0.88,2.07,0.59,,2.3,3.19,1.23,,0.89,,,,,
October,,,,,,1.35,1.73,2.23,3.64,1.58,1.95,2.73,1.15,,3.26,2.05,0.22,3.68,3.65,,,1.93,2.37,,2.31,,,,,
November,,,,,,2.36,1.63,1.87,3.7,4.72,2.25,2.64,1.4,,0.65,3.98,1.23,1.32,2.45,,,3.22,1.68,,1.18,,,,,
December,,,,,,1.27,2.51,2.97,1.17,1.65,0.72,1.75,0.75,,2.73,2.42,2.16,1.87,1.31,,1.15,1.95,1.02,1.54,1.33,,,,,
Total,,,,,,24.66,27.01,20.05,25.82,18.81,23.16,22.04,16.34,,20.88,24.69,17.26,27.73,18.7,,,23.61,23.54,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Jun-Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Oct-Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Jun-Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Feb-Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
