DERBY (ALL SAINTS) FIR BANK HEYWORTH STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SK334366,Long,-1.504623,Lat,52.925778,Elevation,250,ft,,,,,,,,,,,,
Station no,2658,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.63,1.76,2.92,2.61,0.81,1.14,2.75,1.94,1.33,,,,,,,
February,,,,,1.77,2.01,0.36,0.29,0.46,1.81,0.68,0.11,1.14,,,,,,,
March,,,,1.01,1.48,0.89,2.41,0.84,2.07,3.26,1.15,1.26,0.84,,,,,,,
April,,,,2.22,1.61,1.94,1.83,1.34,2.79,2.41,0.75,2.38,0.62,,,,,,,
May,,,,1.08,1.01,2.12,4.87,1.52,0.6,3.38,1.69,2.22,2.48,,,,,,,
June,,,,4.84,1.33,3.01,1.66,0.7,2.55,0.42,1.9,4.85,3.46,,,,,,,
July,,,,2.19,3.48,0.47,3.74,1.26,5.21,2.46,1.81,1.92,2.34,,,,,,,
August,,,,1.65,2.35,2.11,1.87,1.95,2.64,3.07,3.3,3.55,2.82,,,,,,,
September,,,,5.07,1.5,2.68,1.33,2.07,1.01,2.55,1.45,1.4,3.22,,,,,,,
October,,,,2.37,1.52,5.55,5.1,1.5,0.69,2.55,1.64,4.47,,,,,,,,
November,,,,3.54,1.14,2.53,1.73,1.78,3.67,1.13,3.53,1.82,,,,,,,,
December,,,,1.17,2.56,0.52,2.82,1.4,1.98,2.05,0.71,3.39,,,,,,,,
Total,,,,,22.38,25.59,30.64,17.26,24.48,26.23,21.36,29.31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Firbank House on Heyworth Street. Altitude is form OS map. Gauge moved 1 Oct 1892 to Wild Street,,,,,,,,,,,,,,,,,,,,
1884 May 1.01,,,,,,,,,,,,,,,,,,,,
