DONCASTER (Market Place),,,,,,,,,,,,,,,,,,,,,
Grid ref,SE576035,Long,-1.1324,Lat,53.5251,Elevation,43,ft,,,,,,,,,,,,,
Station no,RR159,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860
January,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,
Total,25.54,32.33,27.2,,18.18,29,25.06,23.19,33.85,,17.16,17.83,31.44,31.21,20.32,19.03,24.5,,,,
