DORCHESTER WW,,,,,,,,,,,,,,,,,,,,
Grid ref,SY684905,Long,-2.448936,Lat,50.713265,Elevation,300,ft,,,,,,,,,,,,
Station no,1576,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,5.36,6.05,5.7,4.15,4.71,2.41,3.99,7.75,,,,,,,
February,,,,,,4.83,4.77,3.23,2.15,3.48,2.9,2.04,3.32,,,,,,,
March,,,,,,1.69,2.02,4.02,1.69,2.21,2.06,2.58,3.49,,,,,,,
April,,,,,,0.76,2.38,2.21,3.41,1.21,0.58,5.86,2.11,,,,,,,
May,,,,,,4.01,1.71,2.92,2.06,5.19,1.67,1.15,2.11,,,,,,,
June,,,,,,2.42,2.39,1.22,0.93,1.21,0.4,3.17,4.27,,,,,,,
July,,,,,,1.98,0.81,4.51,0.86,0.68,0.85,4.11,3.67,,,,,,,
August,,,,,,4.26,3.34,2.17,6.15,0.86,1.6,1.91,1.59,,,,,,,
September,,,,,,0.06,9.34,2.93,5.69,5.45,1.96,5.6,2.75,,,,,,,
October,,,,,,8.87,2.09,2.94,3.6,2.45,4.55,5.09,6.58,,,,,,,
November,,,,,,6.08,2.5,1.72,3.47,2.53,2.42,2.02,5.9,,,,,,,
December,,,,,,4.38,2.97,1.59,8.15,4.4,4.26,2.97,5.93,,,,,,,
Total,,,,,,44.7,40.37,35.16,42.31,34.38,25.66,40.49,49.47,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5in gauge,,,,,,,,,,,,,,,,,,,,
Given elevation of 250ft does not fit with gauge being on covered reservoir so adjusted,,,,,,,,,,,,,,,,,,,,
