DOVER-MARTIN-MILL,,,,,,,,,,,
Grid ref,TR3369247204,Long,1.3419982,Lat,51.176287,Elevation,298,ft,,,
Station no,280,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,2.67,,,,,
June,,,,,,0.9,,,,,
July,,,,,,3.09,,,,,
August,,,,,,1.94,,,,,
September,,,,,,2.3,,,,,
October,,,,,,3.86,,,,,
November,,,,,,4.94,,,,,
December,,,,,,4.92,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1925 Jan-Apr estimated,,,,,,,,,,,
This was a new MO gauge for comparison with old gauge,,,,,,,,,,,
