DUNMOW (New Street),,,,,,,,,,
Grid ref ,TL6281621603,Long ,0.363456,Lat ,51.869242,Elevation ,245,ft ,,
Station no ,RR1046 ,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January ,1.95,,1.25,1.59,2.2,1.49,,,,
February ,1.95,2.77,0.88,3.54,1.19,2.67,,,,
March ,0.35,1.8,1.75,1.28,1.27,1.08,,,,
April ,2.45,0.98,2.85,1.64,0.82,1.4,,,,
May ,0.34,1.48,1.25,1.54,0.3,3.3,,,,
June ,2.84,2.12,2.94,2.11,1.27,1.9,,,,
July ,3.43,1.5,1.94,1.74,1.48,0.69,,,,
August ,1.02,4.56,1.42,0.76,-999,1.59,,,,
September ,2.95,2.51,2.7,2.84,-999,4.07,,,,
October ,5.36,2.75,5.04,2.5,2.07,4.53,,,,
November ,2.4,2.86,2.88,2.69,1.88,3.6,,,,
December ,3.12,3.49,2.48,1.25,2.22,0.82,,,,
Total ,28.16,,27.38,23.48,17,27.14,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1881 Jan estimated,,,,,,,,,,
1885 Aug-Sep -999 (value=2.3),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
