EALING (18 CARLTON ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ171810,Long,-0.31379392,Lat,51.515796,Elevation,120,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,
January,,,,,0.81,4.07,3.5,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.19,1.61,4.12,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.33,1.14,2.37,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.8,1.23,2.33,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.89,0.44,2.08,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,3.37,3.81,2.06,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.98,2.6,0.72,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.89,0.39,2.17,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.17,2.83,3.11,1.81,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,1.02,2.33,1.65,2.33,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,1.96,4.28,2.99,1.47,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,4.69,2.48,1.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,26.18,24.64,28.46,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is 18 Carlton Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved here in Aug 1934 from St Stephens Road a movee of 300 yards S form Altitude of 156. Split csv?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
