EARLSTON COWDENKNOWES,,,,,,,,,,
Grid ref,,Long,,Lat,,,,,,
Station no,5081,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.26,2.3,0.53,2.95,2.07,2.23,3.22,2.83,1.42,3.44
February,2.6,0.49,0.94,1.78,2.02,2.09,4.36,2.46,0.35,3.23
March,2.7,1.19,0.3,1.76,1.28,0.93,1.72,1.85,0.55,1.68
April,2.33,1.41,2.35,0.84,0.58,0.51,0.48,2.24,1.09,1.5
May,2.57,1.9,2.27,5.29,1.93,0.7,1.71,2.14,0.23,2.3
June,1.28,2.53,0.91,1.97,1.08,2.07,1.48,4,2.6,0.95
July,3.12,1.31,3.92,2.84,1.6,3.99,3.86,4.51,1.66,3.51
August,3.2,2.71,2.42,4.55,0.35,9.33,3.59,2.01,0.32,4.02
September,1.49,1.26,2.7,3.41,1.54,2.29,1.75,2.66,0.74,1.35
October,0.2,3.11,1.39,5.39,1.99,1.35,1.97,1.2,1.81,4.75
November,5.62,3.52,2.38,3.41,1.39,0.59,1.19,0.87,4,3.5
December,2.2,4.38,1.9,3.01,3.78,2.42,2.67,4.24,2.43,3.55
Total,30.57,26.11,22.01,37.2,19.61,28.5,28,31.01,17.2,33.78
Calc annual,30.57,26.11,22.01,37.2,19.61,28.5,28,31.01,17.2,33.78
Difference,0,0,0,0,0,0,0,0,0,0
