EAST-HAM-SEWAGE-WORKS ,,,,,,,,,,,
Grid ref ,TQ436831,Long ,0.0695,Lat ,51.529,Elevation ,10,ft ,,,
Station no ,1249,,,,,,,,,,
,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,,,,3.24,1.2,1.7,,
February ,,,,,,,0.29,2.61,1.96,,
March ,,,,,,,0.96,1.01,0.94,,
April ,,,,,,0.23,1.04,0.15,1.76,,
May ,,,,,,4.21,0.65,0.98,1.89,,
June ,,,,,,2.13,3.1,0.6,,,
July ,,,,,,1.48,3.06,3.8,,,
August ,,,,,,1.06,3.44,2.14,,,
September ,,,,,,2.63,2.01,1.95,,,
October ,,,,,,3.4,1.26,1.77,,,
November ,,,,,,0.4,0.47,2.29,,,
December ,,,,,,1.5,2.35,1.57,,,
Total ,,,,,,21.92,21.87,20.07,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Note: Gauge at Centrel Park, East Ham until Mar 1955 when it was moved to the Sewage Works and considered a continuation. ",,,,,,,,,,,
,,,,,,,,,,,
ID 1939 June ,,,,,,,,,,,
