FALMOUTH OBSERVATORY-(WOODLANE),,,,,,,,
Grid ref,SW807323,Long,-5.07104,Lat,50.15012,Elevation,150,ft
Station no,1913,,,,,,,
,,,,,,,,
,1880,1881,1882,1883,1884,1885,,
January,,,4.27,5.09,5.44,4.05,,
February,,,3.8,7.54,5.43,5.23,,
March,,,2.09,2.61,4.45,1.8,,
April,,,7.06,1.31,2.03,3.54,,
May,,,2.47,2.52,1.42,,,
June,,,4.75,2.74,1.41,,,
July,,,4.64,2.8,4.25,,,
August,,,3.62,1.54,1.94,,,
September,,,4.46,6.53,3.19,,,
October,,,6.43,4.44,2.08,,,
November,,,7.63,8.49,2.58,,,
December,,,9.25,1.87,5.14,,,
Total,,,60.47,47.48,39.36,,,
,,,,,,,,
Obs lived in Alma Terrace Woodlane Falmouth,,,,,,,,
1885 May 7 Gauge moved to The New Observatory,,,,,,,,
11 in gauge,,,,,,,,
