FALMOUTH OBSERVATORY-(WOODLANE),,,,,,,,,,
Grid ref,SW806323,Long,-5.07242,Lat,50.15012,Elevation,167,ft,,
Station no,1913,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.96,4.85,5.07,3.95,,,,
February,,,3.69,7.23,5.22,5.18,,,,
March,,,2.08,2.52,4.2,1.69,,,,
April,,,6.81,1.21,1.93,3.41,,,,
May,,,2.38,2.47,1.37,2.44,,,,
June,,,4.45,2.51,1.35,2.59,,,,
July,,,4.49,2.57,3.99,0.55,,,,
August,,,3.51,1.39,1.84,2.49,,,,
September,,,4.25,6.4,3.08,6.73,,,,
October,,,6.22,4.27,1.96,8.88,,,,
November,,,7.77,8.22,2.6,5.04,,,,
December,,,9.33,1.8,5.09,2.72,,,,
Total,,,58.94,45.44,37.7,45.67,,,,
,,,,,,,,,,
Obs lived in Florence Terrace Falmouth,,,,,,,,,,
5 in gauge,,,,,,,,,,
