FOLKESTONE-RADNOR-PARK (DOVER-ROAD),,,,,,,,,,
Grid ref,TR232366,Long,1.1855838,Lat,51.085272,Elevation,100,ft,,
Station no,263,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.66,2.84,0.85,,,,,,,
February,1.28,0.26,2.88,,,,,,,
March,2.85,2.51,2.81,,,,,,,
April,2.85,0.52,1.6,,,,,,,
May,1.38,3.34,0.37,,,,,,,
June,1.83,1.53,2.46,,,,,,,
July,3.96,1.98,1.96,,,,,,,
August,3.77,3.79,3.77,,,,,,,
September,0.93,1.22,2.49,,,,,,,
October,1.49,5.45,6.29,,,,,,,
November,3.64,2.95,,,,,,,,
December,0.54,3.07,,,,,,,,
Total,27.18,29.46,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
1892 Nov Gauge moved,,,,,,,,,,
