FOLKESTONE-RADNOR-PARK (CHERITON-ROAD),,,,,,,,,,
Grid ref,TR223360,Long,1.1723855,Lat,51.080235,Elevation,129,ft,,
Station no,263,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.73,2.65,3.36,1.26,,,
February,,,,4.19,1.62,0.62,,,,
March,,,,0.63,1.57,1.87,,,,
April,,,,0,2.45,2,,,,
May,,,,0.91,3.53,0.18,,,,
June,,,,0.72,2.29,1.31,,,,
July,,,,3.26,4.98,3.15,,,,
August,,,,1.25,2.04,2.07,,,,
September,,,,5.06,3.74,0.61,,,,
October,,,,5.02,5.45,4.43,,,,
November,,,4.37,4.61,2.99,4.75,,,,
December,,,2.87,2.12,2.01,2.98,,,,
Total,,,,29.5,35.32,27.33,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1892 Nov Gauge moved,,,,,,,,,,
1896 Feb Gauge moved,,,,,,,,,,
