FOXTON-THE-BURY (THE MORTIMERS),,,,,,,,,,,
Grid ref ,TL415485,Long ,0.0657,Lat ,52.1172,Elevation ,60,ft ,,,
Station no ,RR3052 ,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January ,,,,,,,,2,2.63,1.17,
February ,,,,,,,,2.73,1.06,0.47,
March ,,,,,,,,1.73,1.36,0.03,
April ,,,,,,,,1.77,0.51,1.54,
May ,,,,,,,,0.48,1.76,1.01,
June ,,,,,,,,2.65,2.23,1.19,
July ,,,,,,,,2.19,2.86,2.1,
August ,,,,,,,,2.48,1.79,0.53,
September ,,,,,,,,3.78,0.57,,
October ,,,,,,,,1.42,2.45,,
November ,,,,,,,,2.23,1.31,,
December ,,,,,,,,1.92,2.18,,
Total ,,,,,,,,25.38,20.71,,
