FULBOURN-FLEAM-DYKE-PUMPING-STATION (NO-2),,,,,,,,,,,,,,,,,,,,,
Grid ref,TL540549,Long,0.250489,Lat,52.170877,Elevation,99,ft,,,,,,,,,,,,,
Station no,1197,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.87,2.61,1.27,1.59,1.61,0.66,1.19,,,,,,,
February,,,,,,,,2.66,1.03,0.38,0.44,2.01,0.4,1.2,,,,,,,
March,,,,,,,,1.45,1.25,0.06,1.51,0.11,1.18,1.51,,,,,,,
April,,,,,,,,1.44,0.68,1.18,2.05,2.8,2.05,1.17,,,,,,,
May,,,,,,,,0.46,1.69,1.06,2.46,2.68,4.22,1.81,,,,,,,
June,,,,,,,,2.49,1.96,0.87,0.77,1.32,0.51,2.56,,,,,,,
July,,,,,,,,2.52,2.56,2.31,2.74,3.61,2.22,0.95,,,,,,,
August,,,,,,,,2.4,1.84,0.6,1.39,3.26,2.39,0.99,,,,,,,
September,,,,,,,,3.26,0.58,0.18,3.06,2.4,2.01,1.95,,,,,,,
October,,,,,,,,1.66,2.46,2.75,0.8,0.55,3.54,1.84,,,,,,,
November,,,,,,,,2.15,1.37,3.76,3.45,2.2,1.6,1.36,,,,,,,
December,,,,,,,,1.73,2.26,3.5,1.86,0.88,0.38,0.35,,,,,,,
Total,,,,,,,,24.09,20.29,17.92,22.12,23.43,21.16,16.88,,,,,,,
