FUNTINGTON,,,,,,,,,,
Grid ref,SU806077,Long,-0.85610644,Lat,50.8632,Elevation,70,ft,,
Station no,434,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,3,-999,2.46,3.63,,,,,,
February,0.8,-999,0.51,0.76,,,,,,
March,1.5,2.01,4.78,1.12,,,,,,
April,1.48,1.26,0.98,0.57,,,,,,
May,3.47,1.42,-999,1.87,,,,,,
June,6.14,1.58,-999,3.29,,,,,,
July,1.5,4.06,-999,1.06,,,,,,
August,4.74,0.34,-999,2.47,,,,,,
September,3.19,2,-999,4.07,,,,,,
October,3.39,-999,-999,3.29,,,,,,
November,3.34,-999,-999,2.68,,,,,,
December,2.95,1.04,2.97,2.69,,,,,,
Total,35.5,22.28,26.76,27.5,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1861 Jan-Feb bracketed -999 (2.47),,,,,,,,,,
1861 Oct-Nov bracketed -999 (6.10),,,,,,,,,,
1862 May-Jun bracketed -999 (4.64),,,,,,,,,,
1862 Jul-Sep bracketed -999 (4.01),,,,,,,,,,
1862 Oct-Nov bracketed -999 (6.41),,,,,,,,,,
