GREAT-GADDESDEN GOLDEN PARSONAGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,TL050125,Long,-0.47865353,Lat,51.801296,Elevation,536,ft,,,,,,,,,,,,,
Station no,RR2116,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.74,3.85,1.09,3.89,1.97,1.97,2.95,4.8,3.12,2.5,3.37,,,,,,,,
February,,,2.08,1.03,3.25,4.41,4.42,0.98,1.18,3.06,0.54,0.28,2.94,,,,,,,,
March,,,3.75,2.4,4.55,1.8,5.07,1.84,0.95,3.95,1.66,1.09,2.38,,,,,,,,
April,,,0.16,3.21,1.33,1.21,1.53,2.14,4.7,3.73,4.05,1.78,3.79,,,,,,,,
May,,,2.28,1.93,1.51,2.69,1.96,1.95,2.37,1.13,1.24,1.17,1,,,,,,,,
June,,,3.19,1.4,2.17,0.8,2.33,2.41,0.95,1.26,2.31,0.32,1.21,,,,,,,,
July,,,2.03,1.22,1.92,4.51,1.57,4.44,2.92,2.85,4.31,0.2,4.38,,,,,,,,
August,,,4.86,1.16,1.61,1.73,2.91,6.25,1.24,3.21,1.23,1.69,,,,,,,,,
September,,,2.74,1.57,1.25,2.18,1.49,1.9,5.86,1.73,1.74,2.25,,,,,,,,,
October,,4.13,2.69,4.04,2.44,2.44,3.57,5.38,1.91,1.62,1.71,0.83,,,,,,,,,
November,,3.25,2.7,3.01,2.56,2.75,4.81,1.23,2.92,2,1.7,2.34,,,,,,,,,
December,,6.26,3.26,0.94,8.1,5.64,3.24,0.78,2.93,5.58,2.48,1.88,,,,,,,,,
Total,,,33.48,25.76,31.78,34.05,34.87,31.27,30.88,34.92,26.09,16.33,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
