HARROGATE W. W. BEAVER DYKE SOUTH,,,,,,,,,,,,,,,,,,,,
Grid ref,SE222546,Long,-1.6629291,Lat,53.986977,Elevation,630,ft,,,,,,,,,,,,
Station no,3353,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,2.08,4.14,4.08,1.7,1.43,2.21,2.74,1.06,3.87,1.32,1.73,1.2
February,,,,,,,,,2.34,1.66,4.96,1.26,1.21,3.14,3.66,1.9,1.95,1.82,1.76,0.96
March,,,,,,,,3.75,0.91,1.57,0.63,1.84,1.04,3.64,1.92,3.01,1.96,2.42,3.57,3.63
April,,,,,,,,2.22,2.77,2.59,1.79,2.91,1.45,1.37,2.04,2.21,0.82,1.7,2.38,2.77
May,,,,,,,,1.14,2.27,3.17,1.56,1.46,2.73,3.77,2.9,0.77,2.45,3.96,2.99,1.76
June,,,,,,,,4.8,1.72,1.45,3.29,1.48,1.86,2.03,1.85,1.4,1.29,4.46,0.97,3.19
July,,,,,,,,0.91,1.49,1.81,2.89,1.84,2.11,3.78,3.2,1.09,1.95,2.22,3.54,3.63
August,,,,,,,,4.32,3.53,1.52,5.76,1.26,3.26,3.63,3.81,3.6,2.59,2.11,1.94,3.53
September,,,,,,,,2.88,0.88,3.79,0.7,1.04,1.09,4.25,1.43,2.29,0.76,0.94,3.36,1.88
October,,,,,,,,1.82,4.68,2.84,3.92,1.96,3.74,8.17,0.93,1.96,4.9,7.49,1.96,2.23
November,,,,,,,,2.19,2.66,1.2,3.76,4.36,1.98,1.85,3.78,4.57,3.98,2.56,1.87,1.07
December,,,,,,,,3.07,3.49,2.81,3.44,3.21,2.36,1.42,1.82,0.69,2.03,3.56,1.51,4.45
Total,,,,,,,,,28.82,28.55,36.78,24.32,24.26,39.26,30.08,24.55,28.55,34.56,27.58,30.3
,,,,,,,,,,,,,,,,,,,,
"NGR is a rain gauge between two parts of reservoir but is 50 ft too low. Here is anoher gauge 600m S but that is 70 ft too high. NGR could be up to 500m SE, S or SW",,,,,,,,,,,,,,,,,,,,
