HASTINGS-NEWGATE-RES (BUCKSHOLE RES),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ805108,Long,0.56382513,Lat,50.868522,Elevation,106,ft,,,,,,,,,,,,
Station no,543,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.87,1.19,,3.68,2.72,5.4,2.34,1.64,1.16,3.06,3.2,,,,,,,,
February,,1.73,1.18,,1.87,3.95,0.52,0.62,2.45,2.53,1.18,0.03,,,,,,,,
March,,3.24,1.49,,1.9,1.85,1.65,1.26,4.45,1.78,2.45,2.4,,,,,,,,
April,,0.68,2.55,,1.97,2.26,1.62,1.51,1.14,2.11,2.96,,,,,,,,,
May,,0.94,1.89,,0.32,2.41,2.78,1.63,1.06,1.57,1.49,,,,,,,,,
June,,2.52,2.25,,2.24,1.12,1.03,0.69,2.79,0.43,2.07,,,,,,,,,
July,,1.93,2.69,,1.78,0.58,2.46,0.4,7.51,3.73,3.91,,,,,,,,,
August,,3.7,2.49,,1.38,0.9,1.54,2.33,1.38,2.06,3.64,,,,,,,,,
September,,2.64,3.52,,3.77,4.46,1.49,2.91,1.35,1.95,1.3,,,,,,,,,
October,,3.14,8.09,,2.64,4.53,3.47,1.68,3.05,7.13,1.3,,,,,,,,,
November,,3.12,3.96,,1.19,3.55,5.23,5.53,3.13,1.19,3.1,,,,,,,,,
December,,4.35,3.28,,4.65,1.08,5.71,2.28,2.24,1.72,0.67,,,,,,,,,
Total,,28.86,34.58,,27.39,29.41,32.9,23.18,32.19,27.36,27.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1891 Apr Gauge moved,,,,,,,,,,,,,,,,,,,,
