HAWES WATER MEASAND,,,,,,,,,,,,,,,,,,,,
Grid ref,NY484152,Long,-2.7988394,Lat,54.529437,Elevation,824,ft,,,,,,,,,,,,
Station no,3676/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,9.16,6.11,10.95,11.04,15.4,4.78,5.59,7.05,7.2,2.93,6.43,6.8,5.07,16.45,9.62,7.17,13.38
February,,,,2.81,7.53,5.43,2.3,6.86,7.45,10.89,7.42,0.79,2.52,6.3,2.88,0.95,8.31,8.29,2.16,12
March,,,,0.83,5.7,4.63,8.5,7.43,1.92,5.34,4.32,4.26,1.25,6.39,2.24,2.59,7.04,1.49,6.05,1.85
April,,,,3.12,3.77,2.11,12.94,4,8.29,5.24,7.18,4.86,5.45,0.97,1.74,1.42,1.61,2.67,8.17,7.43
May,,,,2.48,5.81,1.92,3.8,3.1,4.06,3.06,2.17,3.08,3.28,5.34,7.07,3.35,3.66,7.46,2.07,2.75
June,,,,5.33,6.09,6.48,5.15,9.05,1.11,2.29,1.78,3.82,3.43,4.55,4.15,4.04,1.76,5.23,5.3,5.22
July,,,,3.68,4.4,5.6,3.46,4.11,3.33,5.49,3.43,2.22,7.3,3.91,2.87,5.42,3.94,4.99,5.17,5.69
August,,,,5.22,2.44,8.34,0.11,8.4,3.37,9.91,6.5,6.4,5.71,6.04,3.18,9.59,8.08,4.27,1.15,4.25
September,,,,7.67,7.56,13.3,6.89,7.78,1.37,14.96,10.88,7.03,8.27,17.49,3.39,5.97,7.64,8.3,1.17,3.54
October,,,,8.04,8.69,1.53,1.62,5.2,10.24,7.4,1.02,9.03,5.09,17.78,4.95,6.4,9.25,7.51,7.54,5.57
November,,,,17.08,0.41,13.03,9.65,5.05,14.12,7.67,15.95,4,9.18,17.1,3.63,2.95,2.31,1.27,12.32,20.32
December,,,,6.52,4.79,10.86,3.65,11.97,15.33,3.55,16.54,6,4.52,9.57,10.15,12.77,10.3,7.65,16.7,10.91
Total,,,,71.94,63.3,84.18,69.11,88.35,75.37,81.39,84.24,58.69,58.93,101.87,53.05,60.52,80.35,68.75,74.97,92.91
