HEATHFIELD-THE-WHITE-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ604210,Long,0.28291,Lat,50.966094,Elevation,500,ft,,,,,,,,,,,,
Station no,558/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.88,5.07,3.19,6.81,,,,,,,
February,,,,,,,,,,3.2,4.23,0.83,2.07,,,,,,,
March,,,,,,,,,,3.11,3.02,3.98,0.42,,,,,,,
April,,,,,,,,,,1.68,1.77,1.33,2,,,,,,,
May,,,,,,,,,,1.68,2.25,3.31,2.67,,,,,,,
June,,,,,,,,,,0.3,1.81,0.17,1.85,,,,,,,
July,,,,,,,,,,3.39,3.22,2.55,2.38,,,,,,,
August,,,,,,,,,,0.07,5.85,2.84,1.94,,,,,,,
September,,,,,,,,,,2.24,0.79,2.46,1.71,,,,,,,
October,,,,,,,,,,4.5,1.5,3.79,3.32,,,,,,,
November,,,,,,,,,,8.52,3.83,1.95,2.58,,,,,,,
December,,,,,,,,,,2.58,2.82,3.92,2.69,,,,,,,
Total,,,,,,,,,,34.15,36.16,30.32,30.44,,,,,,,
