HELTONDALE (KIDMOOR) NEW SITE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY483195,Long,-2.8011415,Lat,54.568067,Elevation,1043,ft,,,,,,,,,,,,
Station no,3684/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.45,6,8.58,10.6,12.69,3.23,4.19,6.74,5.24,2.4,5.25,6.35,4.25,14.45,8.86,5.83,11.1
February,,,,2.84,6.53,5.05,2,4.89,5.59,9.84,7.65,1.33,1.8,5.5,2.15,0.93,7.93,9.16,1.56,11.49
March,,,,0.96,5.01,3.8,7.5,7.25,1.82,4.69,5.07,3,0.8,4.5,1.58,1.63,6.42,1.76,5.31,2.09
April,,,,2.73,2.61,1.68,12.34,3.83,7.32,4.16,6,4.25,4.85,0.96,1.3,1.2,0.87,2.23,6.87,6.29
May,,,,2.07,4.36,1.75,3.35,2.36,3.24,3.14,1.68,3.21,3.5,4.95,5.4,1.93,3.05,5.85,1.28,2.72
June,,,,3.95,4.29,3.94,3.84,7.5,0.75,2.48,1.41,3.36,2.63,3.55,3.25,3.6,1.65,5.5,5.95,4.25
July,,,,2.64,3.64,5.26,3.87,2.59,2.89,4.92,3.89,2.53,5.65,3.71,1.44,4.25,4.74,4.42,4.45,5.39
August,,,,3.42,2.22,7.28,0.14,10.71,3.56,8.99,5.86,3.75,5.28,6.39,2.5,8.9,7.65,4.07,1.37,4.24
September,,,,7.49,5.72,9.41,5.12,6.85,1.23,14,9.51,6.08,8.35,9.48,3,5.54,6.1,8.47,1.2,4.03
October,,,,7.47,8.55,1.45,1.37,4.36,8.63,5.47,1.01,8.58,3.55,13.35,4.27,5,7.97,6.78,8.85,5.25
November,,,4.36,11.06,0.42,11.47,8.55,4.15,8.35,6.47,15.74,3,8.3,15.35,3.7,3.06,2.63,0.72,10.35,16.3
December,,,4.96,8.16,3.42,7.55,3.76,10.24,12.18,2.96,13.45,5.53,3.65,7.67,8.53,12.28,9.83,7.54,13.88,10.4
Total,,,,61.24,52.77,67.22,62.44,77.42,58.79,71.31,78.01,49.86,50.76,80.66,43.47,52.57,73.29,65.36,66.9,83.55
,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_24_pt1-page-033.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_21_pt1-page-113.csv,,,,,,,,,,,,,,,,,,,,
