HINDOLVESTON-SCHOOL-HOUSE (CHURCH-FARM),,,,,,,,,,,,,,,,,,,,,
Grid ref,TG026291,Long,1.0053518,Lat,52.821342,Elevation,190,ft,,,,,,,,,,,,,
Station no,1435,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.53,2.82,2.55,2.66,2.11,2.29,4.43,1.84,2.4,1.35,3.26,,,,
February,,,,,,,4.25,1.67,1.36,2.74,1.08,0.44,2.64,3.15,1.42,2.4,1.62,,,,
March,,,,,,,3.56,2.45,0.85,2.12,1.21,1.11,2.39,1.87,0.83,1.77,0.43,,,,
April,,,,,,,2.08,2.06,3.37,2.12,2.99,1.52,3.03,1.11,1.84,1.97,2.66,,,,
May,,,,,,,2.02,0.54,0.93,0.47,1.77,1.28,1.98,1.73,3.13,2.65,2.25,,,,
June,,,,,,,3.67,1.22,0.78,1.47,2.28,0.4,1.71,0.98,2.18,0.73,3.22,,,,
July,,,,,,,1.31,2.63,4.11,2.98,2.86,0.39,4.83,2.83,1.91,2.28,1.44,,,,
August,,,,,,,2.74,4.68,1.91,2.48,2.02,2.11,2.46,2.23,1.87,2.69,2.01,,,,
September,,,,,,,1.85,2.23,5.29,1.03,2.02,0.84,3.5,1.49,2.19,3.6,1.31,,,,
October,,,,,,,2.81,3.71,2.36,3.92,1.35,2.14,1.28,2.85,4.1,2.12,2.86,,,,
November,,,,,,,2.63,1.8,1.88,2.43,0.72,1.38,1.85,3.44,2.08,3.42,3.74,,,,
December,,,,,,,3.3,1.12,3.77,4.77,2.85,2.14,3.12,3.01,1.86,2.9,1.37,,,,
Total,,,,,,,31.75,26.93,29.16,29.19,23.26,16.04,33.22,26.53,25.81,27.88,26.17,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS maps,,,,,,,,,,,,,,,,,,,,,
