HITCHIN-BANCROFT (Fairfield),,,,,,,,,,
Grid ref,TL193293,Long,-0.26556572,Lat,51.949409,Elevation,282,ft,,
Station no,RR2110,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.42,,,,,,,,,
February,0.74,,,,,,,,,
March,2.82,,,,,,,,,
April,0.72,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1890 May Gauge moved,,,,,,,,,,
