LANGSETT MOOR (MICKELDEN) - check gauge,,,,,,,,,,
Grid ref,SK195989,Long,-1.707597,Lat,53.486457,Elevation,1200,ft,,
Station no,"""3152/1/1""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,0.36,
March,,,,,,,,,2.3,2.72
April,,,,,,,,,5.3,2.58
May,,,,,,,,,1.26,2.13
June,,,,,,,,,2.2,1.73
July,,,,,,,,,2.93,5.41
August,,,,,,,,,0.81,3.78
September,,,,,,,,,0.1,4.78
October,,,,,,,,,3.54,9.09
November,,,,,,,,,6.06,6.83
December,,,,,,,,,8.86,6.28
Total,,,,,,,,,,
,,,,,,,,,,
1959 Jan and total estimated,,,,,,,,,,
"1960 Jan, Feb, total estimated therefore removed",,,,,,,,,,
