LEEDS CRAG WOOD HORSFORTH Obs J Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE243372,Long,-1.6292087,Lat,53.834084,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,2.55,1.3,3.3,2.73,2.09,3.9,1.01,4.07,3.03,1.58,0.24,0.5,2.8,3.98,3.77,,,,,
February,,,,,,,,,,,2.01,2.35,3.08,1.28,1.28,2.05,2.8,2.57,1.28,3.3,2.41,3.96,2.01,1.9,2.3,,,,,
March,,,,,,,,,,,1.87,1.11,2.7,2.66,2.05,0.61,4.12,3.07,1,1.49,2.17,3.92,2.32,1.31,1.79,,,,,
April,,,,,,,,,,,0.65,3.73,3.77,0.65,1.51,0.78,2.74,3.95,2.16,2.53,2.69,2.01,3.91,3.46,2.21,,,,,
May,,,,,,,,,,,1.49,1,1.58,2.79,1.19,1.72,1.14,2.36,5.06,1.51,2.55,1.52,1.26,1.2,1.01,,,,,
June,,,,,,,,,,,2.19,3.68,4.97,1.05,0.8,2.53,2.52,1.61,5.5,4.6,2.84,2.38,3.78,3.88,1.16,,,,,
July,,,,,,,,,,0.54,0.83,2.92,4.49,2.74,1.81,3.52,2.29,4.42,1.5,3.61,5.47,2.78,4.64,3.89,4.57,,,,,
August,,,,,,,,,,1.8,2.36,1.14,3.18,2.53,2.49,3.25,2.52,4.38,6.07,4.51,1.45,4.75,2.15,2.1,1.12,,,,,
September,,,,,,,,,,4.73,1.1,6.16,4.36,1.92,2.39,3.58,3.38,3.28,3.19,1.51,3.77,3.5,2.07,4.8,1.86,,,,,
October,,,,,,,,,,1.98,7.14,2.98,4.7,2.37,2.65,4.55,3.32,3.95,2.8,0.81,5.66,3.27,4.04,2.96,1.35,,,,,
November,,,,,,,,,,1.92,2.22,0.94,4.54,2.2,2.89,3.81,3.09,2.83,3.14,1.5,2.66,3.24,4,3.4,1.25,,,,,
December,,,,,,,,,,4.78,2.92,1.44,3.34,0.49,3.25,1.45,6,2.65,1.6,1.52,4.65,2.96,3.89,1.43,2.49,,,,,
Total,,,,,,,,,,,27.33,28.75,44.01,23.41,24.4,31.75,34.93,39.14,36.33,28.47,36.56,34.79,36.87,34.31,24.88,,,,,
