"MILNTHORPE BEATHWAITE LEVENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3713,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,,,,6.79,,
February,,,,,,,,,,3.46,,
March,,,,,,,,,,2.91,,
April,,,,,,,,,,4.59,,
May,,,,,,,,,,4.43,,
June,,,,,,,,,,1.92,,
July,,,,,,,,,,2.88,,
August,,,,,,,,,,3.12,,
September,,,,,,,,,,5.04,,
October,,,,,,,,,,3.93,,
November,,,,,,,,,,4.62,,
December,,,,,,,,,,3.49,,
Total,,,,,,,,,,47.18,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.18,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
