SANDFIELD PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ394924,Long,-2.9134184,Lat,53.424895,Elevation,120,ft,,,,,,,,,,,,
Station no,RR2214,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,1.94,3.2,1.94,1.9,2.84,2,0.2,4.3,1,2.42,,,,,
February,,,,,,2.1,2.9,1.18,1.84,2.7,0.56,0.8,2.7,1.2,1,,,,,
March,,,,,,0.8,1.7,1.08,2.8,1.54,0.75,0.2,2.8,1.5,1.4,,,,,
April,,,,,,0.76,1.1,3.26,1.64,2.9,1.5,1.3,2.75,0.4,0.92,,,,,
May,,,,,,3.5,1.46,1.36,0.95,4.9,0.9,1.1,1.5,1.2,1.8,,,,,
June,,,,,,0.7,3.9,0.95,0.42,1.3,1.4,2.8,6.2,1.7,0.56,,,,,
July,,,,,,3.1,2.51,4.8,0.46,1,0.8,3.7,7,3.2,3.5,,,,,
August,,,,,,4.4,3.8,1.64,3.62,2.5,2,1.3,2.3,3.1,3.75,,,,,
September,,,,,,0.63,5.5,2.14,2.14,6.54,2.3,4.7,6.3,2.7,2.6,,,,,
October,,,,,,3,2.1,4.1,4.42,2.94,6,5.9,6.42,3.84,3.9,,,,,
November,,,,,,2.5,4.5,1.92,2.28,3.7,3.3,1.75,2.94,2,5,,,,,
December,,,,,,1,2.23,3.05,6.56,2.16,2.7,2,4.36,0.8,1.6,,,,,
Total,,,,,,24.43,34.9,27.42,29.03,35.02,24.21,25.75,49.57,22.64,28.45,,,,,
,,,,,,,,,,,,,,,,,,,,
"1860,1861,1862,1863,1864 totals all estimated hence removed",,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1860-1869_04_pt3-page-009.csv,,,,,,,,,,,,,,,,,,,,
