LOCH ARKLETT (CORRIEHICHON) NEW SITE,,,,,,,,,,
Grid ref,NN 37168 08412,Long,-4.629024,Lat,56.24026,Elevation,870,ft,,
Station no,5376,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.9
February,,,,,,,,,,8.25
March,,,,,,,,,,3.35
April,,,,,,,,,,10.55
May,,,,,,,,,,5.4
June,,,,,,,,,,4.25
July,,,,,,,,,,7.25
August,,,,,,,,,,5.4
September,,,,,,,,,2.15,4.2
October,,,,,,,,,8.7,5.4
November,,,,,,,,,8.55,11.6
December,,,,,,,,,14.4,10.75
Total,,,,,,,,,,81.3
,,,,,,,,,,
Latest OS spelling Corrieachan,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5376,,,,,,,,,
Midas,13734,,,,,,,,,
Hyd Stn,,,,,,,,,,
