LOCH BRADAN (NEW SITE),,,,,,,,,,
Grid ref,NX436978,Long,-4.461979,Lat,55.249509,Elevation,990,ft,,
Station no,5266/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.7,6.14
February,,,,,,,,,3.5,8.4
March,,,,,,,,,4.71,2.45
April,,,,,,,,,7.07,7.18
May,,,,,,,,,2.28,3.35
June,,,,,,,,,3.53,4.35
July,,,,,,,,,6.25,6.06
August,,,,,,,,,1.63,4.67
September,,,,,,,,,2.59,5.04
October,,,,,,,,,9.8,4.89
November,,,,,,,,,8.75,11.62
December,,,,,,,,,12,7.95
Total,,,,,,,,,66.81,72.1
,,,,,,,,,,
BR 1959 () Ja Fe De Estd,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5266/1,,,,,,,,,
Midas,13361,,,,,,,,,
Hyd Stn,640593,,,,,,,,,
