LODDON-BERGH-APTON (RECTORY),,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG307007,Long,1.401743,Lat,52.555208,Elevation,110,ft,,,,,,,,,,,,,,,
Station no,RR1456,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,
January,,,,,1.45,3.15,0.96,,,,,,,,,,,,,,,,
February,,,,,1.17,0.54,0.34,,,,,,,,,,,,,,,,
March,,,,,1.02,1.95,2.96,,,,,,,,,,,,,,,,
April,,,,,2.36,0.73,1.42,,,,,,,,,,,,,,,,
May,,,,,2.93,1.08,0.61,,,,,,,,,,,,,,,,
June,,,,,2.49,1.04,1.88,,,,,,,,,,,,,,,,
July,,,,,3.78,3.44,1.2,,,,,,,,,,,,,,,,
August,,,,,2.14,3.91,1.39,,,,,,,,,,,,,,,,
September,,,,,1.35,0.65,3.41,,,,,,,,,,,,,,,,
October,,,,,2.49,3.7,3.26,,,,,,,,,,,,,,,,
November,,,,3.64,2.6,2.74,1.39,,,,,,,,,,,,,,,,
December,,,,1.99,2.75,1.37,2.97,,,,,,,,,,,,,,,,
Total,,,,,26.53,24.3,21.79,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1893 OCT - Gauge was moved 0.75 Mile SE to Bergh Apton Rectory.,,,,,,,,,,,,,,,,,,,,,,,
