COLDSTONE BLELACK,,,,,,,,,,
Grid ref,NJ 44094 03560,Long,-2.924883,Lat,57.119562,Elevation,608,ft,,
Station no,5641,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,2.55,,
April,,,,,,,,3.85,,
May,,,,,,,,2.4,,
June,,,,,,,,1.45,,
July,,,,,,,,5.1,,
August,,,,,,,,2.65,,
September,,,,,,,,1.45,,
October,,,,,,,,2.4,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
BR 1867 pg 70,,,,,,,,,,
COLDSTONE.,,,,,,,,,,
I have had a gauge placed at Blelesh three-quarters of,,,,,,,,,,
"a mile from the position of the one I use, and that distance further",,,,,,,,,,
"from the neighbouring hills. My object was twofold :—1st, to ascertain",,,,,,,,,,
the influence of neighbouring hills on the rainfall of a district; and,,,,,,,,,,
"2nd, the local nature of summer rainfall. The observations of one",,,,,,,,,,
"summer may not be of much value; but, so far as they go, they bring",,,,,,,,,,
out the fact that the vicinity of hills increases the rainfall. The,,,,,,,,,,
"increase was most noticeable in the months of April, May, June, and",,,,,,,,,,
"July. In August, the partial and local nature of summer showers",,,,,,,,,,
"was very marked : while in the course of an afternoon, 2.4 in. fell here",,,,,,,,,,
at three-quarters of a mile distant .12 inches was the whole amount,,,,,,,,,,
for the same time.,,,,,,,,,,
