LYME-REGIS-UPLYME-(SOLWAY-HOUSE),,,,,,,,,
Grid ref,SY332932,Long,-2.94776,Lat,50.73463,Elevation,120,ft,
Station no,RR2270,,,,,,,,
,,,,,,,,,
,1876,1877,1878,1879,1880,1881,1882,1883,1884
January,,7.34,2.26,5.6,0.56,2.16,1.69,4.25,4.08
February,,1.31,2.2,5.42,4.84,6.41,2.01,5.09,4.89
March,,2.18,2.06,0.49,1.44,3.37,1.37,1.39,3.2
April,3.28,5.2,5.4,3.21,2.18,1.41,4.58,1.04,2.33
May,0.3,2.67,5.17,3.02,0.77,1.08,1.49,1.92,1.1
June,1.7,1.37,2.05,7.91,2.13,3.63,4.61,2.13,
July,1.05,3.1,1.54,4.43,3.67,2.43,4.19,2.56,
August,3.99,3.86,3.05,6.64,0.41,4.93,3.47,0.97,
September,7.06,3.05,1.91,3.25,4.33,1.98,3.33,6.1,
October,3.64,2.25,3.34,0.95,5.43,1.77,8.14,3.11,
November,6.31,8.15,3.51,0.14,3.43,5.5,4.83,4.36,
December,10.83,1.89,2.7,0.9,4.54,3.92,5.08,0.85,
Total,,42.37,35.19,41.96,33.73,38.59,44.79,33.77,
,,,,,,,,,
Solway House Uplyme,,,,,,,,,
Gauge in a field Nothing to suggest which one but NE of house is nearest to given elevation,,,,,,,,,
1876 Gauge moved from Lyme Regis,,,,,,,,,
1884 Gauge moved to Lyme Regis,,,,,,,,,
