LYME-REGIS-(STILE-LANE),,,,,,,,,,,,,,,,
Grid ref,SY338919,Long,-2.93919,Lat,50.72295,Elevation,100,ft,,,,,,,,
Station no,RR2270,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,2.91,4.02,3.28,1.39,0.73,4,,,,,,,,,
February,,3.75,0.72,0.43,0.7,2.31,1.2,,,,,,,,,
March,,2,3.62,1.18,3.62,2.41,1.32,,,,,,,,,
April,,2.57,2.42,0.99,1.55,3.17,3.79,,,,,,,,,
May,,2.88,3.62,2.13,2.05,1.59,3.85,,,,,,,,,
June,2.12,1.48,0.54,0.22,4.61,0.64,2.89,,,,,,,,,
July,4.14,0.21,2.09,0.81,4.46,3,,,,,,,,,,
August,1.24,1.53,1.46,1.92,2.83,3.68,3.52,,,,,,,,,
September,2.26,3.94,2.45,2.55,0.8,1.38,1.32,,,,,,,,,
October,0.72,4.6,4.05,2.42,1.62,4.05,1.07,,,,,,,,,
November,1.72,3.46,2.95,3.28,7.53,1.35,2.35,,,,,,,,,
December,3.96,2.13,6.8,3.02,2.77,2.44,2.43,,,,,,,,,
Total,,31.46,34.74,22.23,33.93,26.75,,,,,,,,,,
,,,,,,,,,,,,,,,,
1884 Gauge moved from Uplyme,,,,,,,,,,,,,,,,
Owned several properties but appears to have lived in Stile Lane,,,,,,,,,,,,,,,,
1890 May Gauge overflowed,,,,,,,,,,,,,,,,
