MAIDSTONE-LOWER-TOVIL (TOVIL-HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ749546,Long,0.50548533,Lat,51.263724,Elevation,60,ft,,,,,,,,,,,,
Station no,RR2039,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.31,0.19,1.12,1.11,1.56,2.68,2.43,,,,
February,,,,,,,,,,3.23,2.4,2.04,1.33,3.14,1.74,2.86,,,,
March,,,,,,,,,,0.73,0.65,1.7,0.95,1.09,1.36,1.34,,,,
April,,,,,,,,,,2.19,2.18,0.47,2.81,1.69,1.32,,,,,
May,,,,,,,,,,3.25,0.1,0.92,1.11,2.26,0.6,,,,,
June,,,,,,,,,,3.23,2.7,2.72,2.37,2.04,1.41,,,,,
July,,,,,,,,,,2.95,3.3,1.18,2.92,3.64,1.78,,,,,
August,,,,,,,,,4.29,3.63,1.68,3.26,1.25,0.61,0.8,0.95,,,,
September,,,,,,,,,1.1,2.66,3.15,2.59,3.11,3.37,3.68,4.04,,,,
October,,,,,,,,,2.46,0.53,6.59,2.62,6.12,1.9,1.14,3.83,,,,
November,,,,,,,,,4.42,1.48,2.86,2.98,3.34,3.7,1.12,2.67,,,,
December,,,,,,,,,1.74,0.75,3.15,2.84,2.43,1.25,2.99,0.9,,,,
Total,,,,,,,,,,26.94,28.95,24.44,28.85,26.25,20.62,,,,,
