CONISTON MONK (Lanehead),,,,,,,,,,,,,,,,,,,,
Grid ref,SD317970,Long,-3.0526423,Lat,54.363922,Elevation,267,ft,,,,,,,,,,,,
Station no,3027/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,8.27,13.66,,,10.43,8.42,5.72,13.86,11.21,10.89,13.41,4.39,,,
February,,,,,,7.36,9.08,,,11.09,5.85,9.63,9.46,2.11,5.33,3.63,9.85,,,
March,,,,,,2.53,5.99,,,1.99,4.66,4.45,8.73,5.15,5.75,2.66,4.76,,,
April,,,,,,1.51,2.7,,,5.23,2.92,5.62,2.58,1.3,2.67,2.78,4.15,,,
May,,,,,,8.37,1.4,,,3.5,6.53,2.4,3.97,3.64,1.32,3.77,0.74,,,
June,,,,,,0.55,4.93,,,2.33,2.6,2.99,8.63,4.71,1.34,5.35,5.22,,,
July,,,,,,3.29,4.43,,,2.91,1.55,6.53,6.04,10.31,4.41,3.18,3.93,,,
August,,,,,,8.75,9.88,,,2.93,2.24,3.35,7.61,8.98,12.07,4.73,6.6,,,
September,,,,,,2.18,11.76,,,13.71,4.41,4.59,11.43,5.81,7.64,9.38,5.44,,,
October,,,,,,10.65,4.85,,,5.45,15.19,9.98,12.22,12.5,13.99,7.72,5.8,,,
November,,,,,,7.18,12.48,,,11.31,5.82,3.48,9.94,5.02,8.7,9.06,5.88,,,
December,,,,,,5.55,12.27,,,9.18,4.47,10.81,9.47,5.22,5.03,5.77,15.81,,,
Total,,,,,,66.19,93.43,,,80.06,64.66,69.55,103.94,75.96,79.14,71.44,72.57,,,
,,,,,,,,,,,,,,,,,,,,
1870 July,,,,,,,,,,,,,,,,,,,,
