MUSWELL HILL GRAND AVENUE,,,,,,,,,,
Grid ref,TQ283893,Long,-0.14944586,Lat,51.587955,Elevation,310,ft.,,
Station no,RR2322,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.03,1.78,,
February,,,,,,,4.4,1.07,,
March,,,,,,1.29,5.38,2.06,,
April,,,,,,1.27,1.38,3.14,,
May,,,,,,3.59,2.22,2.49,,
June,,,,,,0.84,2.88,2.54,,
July,,,,,,5.79,1.56,4.51,,
August,,,,,,3.1,6.39,4.41,,
September,,,,,,2.22,1.79,2.82,,
October,,,,,,2.27,4.13,4.04,,
November,,,,,,2.72,4.65,2.31,,
December,,,,,,6.56,3.26,1.1,,
Total,,,,,,,40.07,32.27,,
,,,,,,,,,,
NGR is mid-point of Grand Avenue. Altitude from OS map,,,,,,,,,,
