MUSWELL HILL ST JAMES VICARAGE,,,,,,,,,,,
Grid ref,TQ286894,Long,-0.14508133,Lat,51.588786,Elevation,325,ft.,,,
Station no,RR2322,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.84,,,,,
February,,,,,,2.99,,,,,
March,,,,,,0.83,,,,,
April,,,,,,1.45,,,,,
May,,,,,,1.72,,,,,
June,,,,,2.67,0.1,,,,,
July,,,,,6.32,4,,,,,
August,,,,,2,3.01,,,,,
September,,,,,3.26,2.65,,,,,
October,,,,,4.06,2.82,,,,,
November,,,,,2.09,1.55,,,,,
December,,,,,3.57,2.25,,,,,
Total,,,,,,25.21,,,,,
,,,,,,,,,,,
"NGR is St James Vicarage. Stated altitude of 360 ft. is 35 ft too high, OS figure used",,,,,,,,,,,
