"NIDDERDALE, WEST HOUSES",,,,,,,,,,,,,,,,,,,,
Grid ref,SE041763,Long,-1.9386761,Lat,54.182462,Elevation,1150,ft,,,,,,,,,,,,
Station no,3374,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,3.48,2.44,,5.33,3.84,,,,,,,
February,,,,,,,,,2.8,3.39,,0.7,3.62,,,,,,,
March,,,,,,,,,5.2,5.81,,3.52,0.95,,,,,,,
April,,,,,,,,,4.79,3.54,,3.94,2.61,,,,,,,
May,,,,,,,,,3.32,2.66,,5.3,7.17,,,,,,,
June,,,,,,,,,3.07,0.76,,1.99,4.75,,,,,,,
July,,,,,,,,,6.5,3.95,,6,2.62,,,,,,,
August,,,,,,,,,5.31,6.72,,10.46,6.78,,,,,,,
September,,,,,,,,,1.57,1.46,,5.04,5.38,,,,,,,
October,,,,,,,,,3.05,7.89,,8.64,12.04,,,,,,,
November,,,,,,,,,15.01,1.95,,7.01,,,,,,,,
December,,,,,,,,4.52,5.7,3.3,,13.06,,,,,,,,
Total,,,,,,,,,59.8,43.87,54.13,70.99,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is White Houses that are now submerged under the Angram Reservoir. Altitudes match. Gauge moved 10 Nov to Angram, 200m or so SSW",,,,,,,,,,,,,,,,,,,,
