NORTHWICH-WINCHAM-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ685751,Long,-2.4737966,Lat,53.271944,Elevation,120,ft.,,,,,,,,,,,,
Station no,RR6202,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1,2.88,1.93,3.6,1.15,1.75,3.08,1.32,,,
February,,,,,,,,,,2.03,0.68,0.22,2.13,2.8,3.6,0.27,1.8,,,
March,,,,,,,,,,2.77,2.05,1.62,0.79,0.48,1.68,2.74,3.88,,,
April,,,,,,,,,1.06,2.42,1.48,2.14,1.34,0.42,2.19,2.36,1.53,,,
May,,,,,,,,,0.5,2.46,2.21,3.22,3.07,2.19,2.23,0.54,0.46,,,
June,,,,,,,,,2.4,0.87,3.02,2.7,3.29,1.96,2.94,2.22,2.81,,,
July,,,,,,,,,6.73,4.75,2.14,2.11,3.7,2.09,2.67,4.05,1.67,,,
August,,,,,,,,,3.26,5.37,3.72,4.2,3.52,2.85,4.59,3.49,2.84,,,
September,,,,,,,,,1.24,3.94,0.95,2.75,3.05,2.38,0.95,1.59,4.38,,,
October,,,,,,,,,1.21,2.42,2.27,4.02,4.57,2.56,2.18,3.1,4.1,,,
November,,,,,,,,,3.88,2.22,6.23,2.6,2.44,1.31,1.95,2.7,1.52,,,
December,,,,,,,,,1.99,2.15,0.59,4.43,2.2,3.59,2.58,3.2,3.73,,,
Total,,,,,,,,,,32.4,28.22,31.94,33.7,23.78,29.31,29.34,30.04,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Wincham Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Gauge moved here from Winnington in March 1888; some readings on sheet TYRain_1880-1889_08_pt4-page-066.,,,,,,,,,,,,,,,,,,,,
850m From NORTHWICK-LOSTOCK-GRALAM,,,,,,,,,,,,,,,,,,,,
