NOTTINGHAM-PARK-MIX (NEWCASTLE DRIVE),,,,,,,,,,,,,,,,,,,,
Grid ref,SK5649939958,Long,-1.160468,Lat,52.954031,Elevation,234,ft,,,,,,,,,,,,
Station no,RR1233,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,
January,,,,1.85,1.41,2.7,1.74,3.43,1.76,,,,,,,,,,,
February,,,,0.85,1.92,1.29,2.13,1.77,0.93,,,,,,,,,,,
March,,,,2.14,1.17,0.61,2.9,1.83,0.64,,,,,,,,,,,
April,,,,0.73,1.35,0.8,2.8,2.74,1.39,,,,,,,,,,,
May,,,,2.58,1.21,1.77,0.58,2.62,4.26,,,,,,,,,,,
June,,,,1.64,0.73,2.96,1.77,1.52,2.38,,,,,,,,,,,
July,,,,2.98,0.75,6.24,1.36,2.5,1.59,,,,,,,,,,,
August,,,,2.74,1.87,3.81,1.72,3.91,,,,,,,,,,,,
September,,,,1.73,2.31,2.93,3.9,2.01,,,,,,,,,,,,
October,,,,1.48,1.83,5.27,2.78,1.47,,,,,,,,,,,,
November,,,,2.19,2.06,3.66,3.26,2.15,,,,,,,,,,,,
December,,,,0.32,1.43,0.88,4.81,1.63,,,,,,,,,,,,
Total,,,,21.23,18.04,32.92,29.75,27.58,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge at Newcastle Drive until mid Aug 1878 when moved to Cavendish Crescent N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
