NOTTINGHAM-PARK-MIX (CAVENDISH CRESCENT N),,,,,,,,,,,,,,,,,,,,
Grid ref,SK5629639824,Long,-1.163526,Lat,52.952848,Elevation,234,ft,,,,,,,,,,,,
Station no,RR1233,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.38,0.56,0.49,2.18,1.84,2.36,1.74,2.54,,,
February,,,,,,,,,,2.64,2.05,4.3,1.85,2.7,1.61,2.32,0.29,,,
March,,,,,,,,,,1.2,1.88,1.83,1.47,1,1.3,0.83,2.63,,,
April,,,,,,,,,,3.11,2.39,1.03,2.74,2.15,1.63,1.34,1.41,,,
May,,,,,,,,,,3.36,1.56,1.16,2.24,1.65,0.78,1.24,5.16,,,
June,,,,,,,,,,4.58,6.8,1.73,3.72,4.21,1.11,2.64,1.1,,,
July,,,,,,,,,,3.41,6.09,1.83,3.25,2.43,4.51,0.3,,,,
August,,,,,,,,,,3.88,2.24,4.81,1.44,1.45,1.75,2.07,,,,
September,,,,,,,,,2.57,3.08,3.93,1.82,2.35,4.76,1.06,3.35,,,,
October,,,,,,,,,3.32,1.33,5.87,3.1,4.93,2.1,0.53,5.41,,,,
November,,,,,,,,,2.39,1.53,2.2,2.5,3.02,3.55,1.02,2.25,,,,
December,,,,,,,,,2.17,0.73,3.01,2.48,4.42,0.91,1.8,0.55,,,,
Total,,,,,,,,,,30.23,38.58,27.08,33.61,28.75,19.46,24.04,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge at Newcastle Drive until mid Aug 1878 when moved to Cavendish Crescent N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
