PEWSEY-WILCOT (Manor House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU140608,Long,-1.800376,Lat,51.346112,Elevation,405,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,4.64,4.04,3.36,1.42,4.56,2.42,3.62,3.09,2.47,0.8,4.51,5.45,2.95,5,2.6,2.63,3.19,,,,,,,,
February,,,,,,,2.86,4.6,1.1,0.78,0.61,2.78,0.02,4.67,0.09,3.35,2.21,5.05,0.82,1.41,3.01,2.81,0.94,,,,,,,,
March,,,,,,,0.8,2.83,1.77,0.15,1.39,0.36,1.9,,2.73,1.01,3.12,4.55,0.23,1.2,2.33,2.9,2.04,,,,,,,,
April,,,,,,,4.05,1.56,0.69,0.44,2.35,2.64,4.75,,2.55,4.71,1.99,4.09,0.03,3.22,1.44,1.53,1.49,,,,,,,,
May,,,,,,,3.08,1.3,1.2,2.1,1.71,2.21,5.4,,1,0.97,1.43,0.64,1.64,1.29,0.72,1.79,4.77,,,,,,,,
June,,,,,,,2.66,2.91,1.92,1.63,1.14,3.2,1.17,,1.73,3.82,1.8,1.34,0.93,2.24,1.16,1.97,0.34,,,,,,,,
July,,,,,,,2.44,,2.27,1.65,2,3.96,3.88,2.15,2.33,0.47,3.78,2.26,3.42,4.64,2.91,3.1,1.56,,,,,,,,
August,,,,,,,1.22,6.23,1.16,0.73,4.01,3.28,1.27,,2.32,2.32,0.64,1.06,2.31,2.83,0.14,3.79,4.28,,,,,,,,
September,,,,,,,1.17,5.46,1.05,0.55,2.73,1.8,3.89,,2.4,5.36,3,1.43,2.41,0.36,1.67,1.18,1.46,,,,,,,,
October,,,,,,,3.07,2.31,4.05,4.36,2.05,0.91,5.63,,2.13,4.61,1.76,3.65,4.05,4.37,3.71,1.2,4.7,,,,,,,,
November,,,,,,,6.73,2.5,2.75,8.19,4.8,4.14,2.51,,1.55,6.01,3.43,1.46,4.88,5.75,8.47,,1.82,,,,,,,,
December,,,,,,,0.71,3.32,2.59,9.13,4.9,1.71,0.94,,8.56,3.71,2.49,2.04,3.2,1.56,1.9,,4.41,,,,,,,,
Total,,,,,,,33.43,,23.91,31.13,32.25,29.41,34.98,,29.86,37.14,30.16,33.02,26.87,33.87,30.06,,31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933 Mar-Jun, Aug-Dec estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_09_pt1-page-334.csv added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
