PITLOCHIRIE BONSHEID,,,,,,,,,,
Grid ref,NN894611,Long,-3.809174,Lat,56.728409,Elevation,600,ft,,
Station no,5562,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.02,5.19,4.78,5.82,4.54,1.87,6.2,1.97,1.88
February,,2.42,6.49,1.97,1.29,1.17,3.02,2.2,1.5,0.75
March,,0.55,2.06,2.13,1.33,1.54,5.57,1.2,1.75,1.4
April,,2.39,1.26,-999,3.29,1.07,2.14,3.1,1.2,2
May,,0.85,3.09,2.27,0.59,2.1,0.18,2.4,3.3,2.6
June,,1.25,6.13,1.45,1.84,2.77,2.82,4.5,1.75,4.8
July,,4.73,3.75,4.32,3.52,2.59,1.51,2.55,0.2,2.3
August,,3.06,2.8,4.1,6.88,2.21,3.23,4.6,5.2,5.6
September,,1.28,4.07,3.65,4,3.75,2.6,2.15,3.4,2.55
October,,2.79,3.79,4.68,5.5,7.46,5.59,7.5,6.8,1.95
November,,2.32,6.2,2.5,2.4,3.45,2.4,6.8,2.4,1.35
December,,3.18,5.01,4.3,2.1,2.7,4.85,3.5,1.4,2.67
Total,,26.84,49.84,37.16,38.56,35.35,35.78,46.7,30.87,29.85
,,,,,,,,,,
,,,,,,,,,,
TYRain_1870-1879_12_pt1,80,,,,,,,,,
