WHITLEY-BRIDGE-ROALL-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,SE568243,Long,-1.1409017,Lat,53.712038,Elevation,44,ft.,,,,,,,,,,,,
Station no,RR6059,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.68,1.8,0.74,0.23,2.74,,,,,,
February,,,,,,,,,,0.43,1.65,0.7,1.01,0.51,,,,,,
March,,,,,,,,,,1.99,0.43,0.83,2.4,1.89,,,,,,
April,,,,,,,,,,1.55,1.82,0.84,0.1,1.97,,,,,,
May,,,,,,,,,,1.74,1.67,0.65,1.89,1.59,,,,,,
June,,,,,,,,,,3.01,2.57,2.89,4.83,0.63,,,,,,
July,,,,,,,,,,2.94,3.39,0.2,3.65,0.45,,,,,,
August,,,,,,,,,,3.11,2.08,1.45,4.6,0.73,,,,,,
September,,,,,,,,,,1.48,0.15,2.06,1.28,0.78,,,,,,
October,,,,,,,,,,1.93,2.68,1.53,2.14,3.29,,,,,,
November,,,,,,,,,0.88,0.09,2.93,2.64,1.75,1.75,,,,,,
December,,,,,,,,,1.01,3.95,2.36,3.42,1.54,1.32,,,,,,
Total,,,,,,,,,,22.9,23.53,17.95,25.42,17.65,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is a pumping station near Whitley Bridge that matches the relationships to the church and station. Altitudes match.,,,,,,,,,,,,,,,,,,,,
